20 188
0 11 6
9 11 92
5 0 49
5 3 37
19 3 12
13 19 70
10 5 53
19 18 23
17 18 95
18 2 10
5 4 42
14 2 14
9 15 72
8 11 25
11 16 3
1 14 42
7 9 100
11 6 98
12 2 46
0 1 84
1 2 56
2 3 80
3 4 9
5 6 67
6 7 45
7 8 37
8 9 100
9 10 33
10 11 99
11 12 79
12 13 50
13 14 82
14 15 17
15 16 13
16 17 73
19 0 75
16 10 47
18 4 68
15 3 49
9 2 73
19 5 11
7 5 54
9 14 74
7 16 7
10 18 21
2 7 78
9 0 79
15 14 65
19 17 82
7 17 80
6 0 63
9 12 8
13 1 97
7 0 94
5 18 68
10 13 37
0 9 31
15 17 25
0 19 14
18 16 13
15 2 29
4 10 60
0 16 83
2 17 54
17 16 16
15 10 96
7 3 70
10 12 5
14 18 33
18 7 22
18 8 85
0 4 50
19 8 82
16 3 49
5 15 9
18 11 3
5 17 54
13 7 63
9 5 87
17 3 73
16 4 11
4 2 36
18 15 69
1 12 13
12 19 44
16 2 27
8 4 62
19 2 11
8 2 47
12 7 81
7 10 57
2 15 3
9 18 12
13 17 50
9 16 9
3 15 26
13 6 3
11 19 54
14 19 41
11 17 68
10 8 97
17 9 71
17 5 1
4 13 73
9 19 56
7 1 51
12 3 7
5 2 82
1 0 84
3 1 47
13 10 59
5 11 7
18 10 11
15 5 23
12 9 92
17 13 15
8 14 16
14 4 19
13 5 15
5 8 77
12 16 97
5 12 48
10 4 16
13 3 89
6 18 14
4 16 93
7 18 46
8 6 65
7 11 36
19 9 30
11 2 76
17 0 47
10 14 85
19 15 25
10 2 25
14 9 51
4 8 19
4 19 48
1 9 65
15 7 34
11 1 33
17 12 95
10 9 27
8 18 68
18 3 31
11 7 9
2 11 9
15 1 41
9 13 81
15 13 69
6 10 9
14 13 69
14 12 75
18 0 59
16 15 13
0 10 94
5 13 30
0 0 0
17 19 63
4 12 99
15 11 97
11 3 72
1 11 34
5 7 34
16 1 54
0 7 99
3 9 10
11 18 40
8 15 31
7 4 20
14 6 71
13 4 64
16 14 64
11 15 5
4 9 79
16 8 61
1 10 48
6 9 8
9 4 54
19 11 15
6 4 53
12 8 91
0 8 4
13 9 6
14 0 34
12 0 87
0 0 0
0 0 0
